day,subject,avg_tweet
2020-01-18,FoodBeverages,"[""[': Lufthansa offers selected meals and drinks on board in all travel classes so that you can enjoy culinary delights']""
 '[""Regarding Tim\'s cups...""]'
 ""['the warmer waters of Lake Ontario starts to steam like a teakettle']""]"
2020-01-19,FoodBeverages,"[""['your food broke my tooth and no apology even ..']""
 ""[': Just some subjects of Trump dishonesty last week:nIran']""
 ""[': Just some subjects of Trump dishonesty last week:nIran']""]"
2020-01-20,FoodBeverages,"[""[': Just some subjects of Trump dishonesty last week:nIran']""
 ""[': Just some subjects of Trump dishonesty last week:nIran']""
 ""[': Just some subjects of Trump dishonesty last week:nIran']""]"
2020-01-21,FoodBeverages,"[""[' Emirates says Enjoy Meal although meal of your preference  request is not available in flight']""
 ""['  Have you stopped serving a pre-departure drink for biz passengers on short haul flights?']""
 ""[' Flight Ek451 from Bali to Dubai was not hospitality as required in terms of water and food and this  ']""]"
2020-01-22,FoodBeverages,"[""[' The food quality and service of Air Canada have gone down since 2015', 'My mother simply x99t never eat the food there']""
 ""[': Air Canada customer furious after finding rock in on-board meal      ']""
 ""['Man furious with Air Canada after wife finds rock in meal served on flight ']""]"
2020-01-23,FoodBeverages,"[""['united nations china chargeing maxine waters as fraud waters as last name and first  name of england royals  ']""
 ""['Learnt from cabin crew something new: there is supposed to be no water in washroom  ']""
 ""['We lead all other large population countries in water and air quality.n2']""]"
2020-01-24,FoodBeverages,"[""['but I have never wanted an eggplant sandwich']""
 ""['plus if x99re going to Europe and x99re not 21 you can drink on  ']""
 ""['air and water']""]"
2020-01-25,FoodBeverages,"[""['aisle occupied by myself x81']""
 ""['Here is what you need to have so as to part of the Emirates FA cup']""
 ""[': You can watch the emirates FA cup on Your  on app']""]"
2020-01-26,FoodBeverages,"['[\'""RT : They\\\'re pulling out Emirates cup highlights xad""\']'
 '[\'""RT : They\\\'re pulling out Emirates cup highlights xad""\']'
 '[\'""RT : They\\\'re pulling out Emirates cup highlights xad""\']']"
2020-01-17,InflightEntertainment,"[""['a guest conductor at the New York Philharmonic and the music director of the Swedish Radio  ']""
 ""['  They sent it to France I read but now there is a video of 2 missiles hitting the air craft']""
 ""[' fight 7590 has video on one side of plane and not working on other side']""]"
2020-01-18,InflightEntertainment,"['[\'he passenger paired the video with a sarcastic caption: ""\\\'m currently on a plane that just lost a wheel\']'
 ""['selecting the music to be played on Air France planes.']""
 ""['I have a screenshot and recording of all the info being input correctly']""]"
2020-01-19,InflightEntertainment,"[""['Nice to see Kyiv (not Kiev) on personal screens on Air Canada international flights']""
 ""[': Aviation video:  2019 formation flight with  fleet - Air Show  via ']""
 ""['  This video is edited from the crash of AEROFLOT 1492 in Moscow I believe and Is  ']""]"
2020-01-20,InflightEntertainment,"[""[': Aviation video:  2019 formation flight with Airbus fleet - Air Show  via ']""
 ""['Aviation video:  2019 formation flight with Airbus fleet - Air Show  via ']""
 ""[': Aviation video:  2019  flight with  fleet - Air Show  via ']""]"
2020-01-21,InflightEntertainment,"[""['(the real life guy the movie Goodfellas was based on,) was no angel but  people  ']""
 ""['singapore airlines hold music is my new fav song i think imma call them just to hear it']""
 ""[': Aviation video:  2019 formation flight with Airbus fleet - Air Show  via ']""]"
2020-01-22,InflightEntertainment,"[""[': Aviation video:  -  This unusual figure requires   between these two ']""
 ""['Aviation video:  -  This unusual figure requires   between these  ']""
 ""['A new video is out', 'A flight video of All Nippon Airways', 'This is a video featuring ANA Roblox']""]"
2020-01-23,InflightEntertainment,"[""[': A new video is out', 'A flight video of All Nippon Airways', 'This is a video featuring ANA Roblox']""
 ""[': A new video is out', 'A flight video of All Nippon Airways', 'This is a video featuring ANA Roblox']""
 ""['will undergo enhanced health screenings out of concern over a new ']""]"
2020-01-24,InflightEntertainment,"[""[' Did you miss that South Lawn video of Donald Trump saying it did']""
 ""[': So air canada now makes you pay for entertainment on-board ']""
 '[""I\'ll add that unlike the person in the video""]']"
2020-01-25,InflightEntertainment,"[""[': New 40+ Minute  video from x93El Prat Josep Tarradellas Airport with  last month']""
 ""[': New 40+ Minute  video from x93El Prat Josep Tarradellas Airport with  last month']""
 ""['New 40+ Minute  video from x93El Prat Josep Tarradellas Airport with  last  ']""]"
2020-01-26,InflightEntertainment,"[""['A scene in Guy x99s new movie The Gentleman takes place at the Emirates']""
 ""[': New video uploaded']"" ""['New video uploaded']""]"
2020-01-17,GroundService,"[""[' why is it getting luggage at YVR is the slowest of any airport?']""
 '[""while you can\'t load baggage  ""]' ""[' Trying to check in']""]"
2020-01-18,GroundService,"[""['I have lost my baggage since  in Paris (CDG)  Anyone suggest what can I do']""
 ""[' please check my DM!']""
 ""['   your services regarding lost luggage and the lack of communication towards customers  ']""]"
2020-01-19,GroundService,"[""['  Singapore Airlines lifetime first class tickets for 6 round trips per year']""
 ""['rying to find a carryon that fits air x99s requirements so that I x99t wind up loosing jerseys by checking  ']""
 ""[': Beware Air Canada bookings these days.Friends had a flight cancelled without notification,I checked a booking for my ']""]"
2020-01-20,GroundService,"[""['Does anyone know how strict  are with cabin baggage']""
 '[""You\'ll have to check with them for the tracing ""]'
 ""[' baggage']""]"
2020-01-21,GroundService,"[""['Air France-KLM CEO sees room for improvement on fleet efficiency $BA ']""
 ""['I was blocked from boarding  and later']""
 ""['I was blocked from boarding  and later']""]"
2020-01-22,GroundService,"[""[' I think the main point to me was that this decision enables potential passengers to book a ticket up ']""
 ""['Complaint for denied boarding even after offer to show ok travel from family doctor with ']""
 ""['we must advise you to complete the check ']""]"
2020-01-23,GroundService,"[""['CORONAVIRUS ALERT: This flyer will be posted at  check-in counters for direct flights to China']""
 ""[': CORONAVIRUS ALERT: This flyer will be posted at  check-in counters for direct flights to China']""
 ""[': CORONAVIRUS ALERT: This flyer will be posted at  check-in counters for direct flights to China']""]"
2020-01-24,GroundService,"[""['   baggage drop and check-in lineup at  for 1.5 hours with no movement and not a single ']""
 ""['   The nightmare of my lost luggage started on December 10th']""
 ""['   nIt has been 4 days now...no trace of my lost baggage from Singapore ']""]"
2020-01-25,GroundService,"['[""They didn\'t even check on the old lady""]'
 ""[' x99ll buy the plane ticket']""
 ""['marks 20 years of operations to Bahrain']""]"
2020-01-26,GroundService,"[""['2nd wave of the big relief operations for Taal victims yesterday']""
 ""['2nd wave of the big relief operations for Taal victims yesterday']""
 ""['2nd wave of the big relief operations for Taal victims yesterday']""]"
